z dist z_err dist_err
1.219433133036035066e+00 8.764240292894379891e+00 2.343301610070227525e-01 1.247359231168391203e+00
1.184296264015387790e+00 8.080916195457140461e+00 2.119416044694150125e-01 9.528160723027742085e-01
8.913257194749063528e-01 5.250158857194593409e+00 1.854473543679648895e-01 6.483162537904071376e-01
7.883892306643442982e-01 7.804402960653853860e+00 2.074418570697490749e-01 8.977348627550856275e-01
8.145366758463001844e-01 6.037763134836396262e+00 1.865590704144108603e-01 6.601327439883802883e-01
6.110754048150830453e-01 4.558658056753090548e+00 1.689373963201864504e-01 4.827839162839953624e-01
1.310747664254283462e+00 9.366185394505722073e+00 2.300774413051035472e-01 1.188782024092251532e+00
1.190134030450143765e+00 8.116417163438150340e+00 2.374584536914629840e-01 1.291237307370222576e+00
7.469273365464141889e-01 5.936719037889073292e+00 1.970912149667860824e-01 7.762579216785522318e-01
7.541364503946976772e-01 4.536973914976732303e+00 1.863392405188156742e-01 6.577894719468171392e-01
1.025522207100579841e+00 1.109407068682356368e+01 2.302474510932676077e-01 1.191100055407785296e+00
1.168623289792717568e+00 1.398429215939552606e+01 2.755178558592023541e-01 1.878942787667990721e+00
7.881757863383278551e-01 5.847029783304581230e+00 1.835634167899103941e-01 6.284843674286164639e-01
1.135476824537994034e+00 6.650100739902552682e+00 1.957492914897909220e-01 7.610423602501489304e-01
1.127144948180458517e+00 1.188311462169893673e+01 2.749294196542338420e-01 1.869093725251228966e+00
1.351393212057572679e+00 8.929420994657455424e+00 2.284686359219319507e-01 1.166944085898641070e+00
1.496855204968242870e+00 1.651206928379525607e+01 2.676590425165780718e-01 1.749390298594402537e+00
1.401345354448783720e+00 1.404442203029567615e+01 2.939710192624411245e-01 2.200076675883276600e+00
1.388322050940159480e+00 1.650668336054842911e+01 3.027637015279264765e-01 2.361501584910644436e+00
4.823256190401043475e-01 2.734155078082578960e+00 1.589272086171346354e-01 3.915584603343360004e-01
1.496870384065946524e+00 1.299321647217414188e+01 2.666446162743473791e-01 1.732979892998504079e+00
1.451025118775891576e+00 8.564855917081050762e+00 2.275339046533222387e-01 1.154337124248555391e+00
5.134789103418324618e-01 3.375076815148525533e+00 1.600715389102255470e-01 4.016352120334219511e-01
7.108595836030026094e-01 6.846247874465866801e+00 1.909996853936989369e-01 7.081728729303731207e-01
9.518448261809724364e-01 1.547276173417265710e+01 3.319600831017079368e-01 2.936867826344725430e+00
1.242198198449889768e+00 1.448404164521534376e+01 2.703594159789236007e-01 1.793422171649257324e+00
1.258298051190652078e+00 7.083443681833278660e+00 2.336527341157562665e-01 1.237945608916990681e+00
9.815396960807970528e-01 8.955667967303535093e+00 2.162748191967996947e-01 1.007160034811278804e+00
5.426010119668294163e-01 6.435756814230529699e+00 1.851736903721148131e-01 6.454203992201923423e-01
1.326330619561464585e+00 7.840504592821550212e+00 2.081849576593186590e-01 9.067362357519745952e-01
1.366398483111367579e+00 8.362260946055400268e+00 2.157938184222354394e-01 1.001064667412470799e+00
1.231495419109512657e+00 8.907000417649273416e+00 2.273041560178811482e-01 1.151247567543084438e+00
1.388947188021270707e+00 1.023545610929350325e+01 2.318484332934859227e-01 1.213025716630936168e+00
1.107177253548806029e+00 6.845328565857691672e+00 2.362574433684862807e-01 1.274312561790102105e+00
6.435259699433303338e-01 2.997614738689410530e+00 1.457317265611839940e-01 2.819838544071760489e-01
9.405967285988272586e-01 8.802899788432359429e+00 2.242987939992657775e-01 1.111164203352512203e+00
1.280999886819610412e+00 1.122620637475084848e+01 2.534559074845454951e-01 1.526102949349725124e+00
1.158870903540790920e+00 7.208944126520891338e+00 2.202600963328762984e-01 1.058268054238543865e+00
1.214970467544101096e+00 8.171725096834380864e+00 2.197070680858097258e-01 1.051111315617224040e+00
1.283445095363003219e+00 9.959696519948620264e+00 2.220952171724184798e-01 1.082165536729249977e+00
9.479503821647282669e-01 5.921777231726130353e+00 1.934335660842113058e-01 7.350733950128311989e-01
1.130713055853297844e+00 8.771453794343610610e+00 2.190137173386221825e-01 1.042168074599237659e+00
1.267812096016634138e+00 8.054975558361626042e+00 2.043447328387379969e-01 8.606228310097971956e-01
1.352969319624766964e+00 9.595576803007784150e+00 2.270713079745736995e-01 1.148120003734712125e+00
1.269560643105996700e+00 8.704487452183347074e+00 2.382051221194636526e-01 1.301809163026094174e+00
2.582839661234032080e-01 1.560969480511114282e+00 1.314605707888280295e-01 1.773943012780697936e-01
1.496346873255615106e+00 1.347541651092562276e+01 2.615277734395373144e-01 1.651290814887989900e+00
3.662020453277204934e-01 3.019922000731070533e+00 1.464465799468517293e-01 2.876057632748234005e-01
1.413687648166260580e+00 9.948589776574763732e+00 2.558103083380195431e-01 1.562153543971164238e+00
1.354414391317372290e+00 8.439769177195811878e+00 2.199819408330393466e-01 1.054665841598585896e+00
7.134132083372841659e-01 6.991566169696357136e+00 2.004105061512447272e-01 8.144202838418415080e-01
1.254632499857584849e+00 4.921067513989100028e+00 1.919604854858352472e-01 7.187439508160926582e-01
1.073028499326786234e+00 1.079181104863655705e+01 2.302257302261203620e-01 1.190803788143922182e+00
1.011965739290306532e+00 6.943807060551129950e+00 2.120527711330580378e-01 9.541942830189843461e-01
6.271868898690753369e-01 1.988052880441427472e+00 1.457431483019744067e-01 2.820733949855173672e-01
4.913921219317688993e-01 3.076973217558497176e+00 1.633953130289861333e-01 4.314197206369969062e-01
4.855843729452131718e-01 3.410554691085791124e+00 1.569459142880796354e-01 3.743272576801064955e-01
1.291191240076507096e+00 8.203944160562423704e+00 2.245583743834263513e-01 1.114602012455017777e+00
6.623626513742107980e-01 6.084092800144820679e+00 1.878366064826060000e-01 6.738158471044011222e-01
1.212198833322549074e+00 8.350691316487941052e+00 2.209646550383713159e-01 1.067415907556156229e+00
1.039428527964382010e+00 6.280388923100507448e+00 1.946182469232510537e-01 7.483130273257276865e-01
1.449912636025722401e+00 1.071751638198617584e+01 2.304234993201509374e-01 1.193502497776165239e+00
1.050398496560263517e+00 1.047102857447121771e+01 2.377909273068689322e-01 1.295939991576809724e+00
1.339536494540064515e+00 1.048742591660936618e+01 2.486644777221182767e-01 1.453914886027223075e+00
8.052627968839827233e-01 6.090486435552947775e+00 1.999231289387737032e-01 8.087699086086235223e-01
1.363618176615467581e+00 8.864646645054714114e+00 2.263684209977389894e-01 1.138701401494808030e+00
1.495010367539423957e+00 1.169456715949177017e+01 2.354991238208917759e-01 1.263677053546658380e+00
7.624310415186814627e-01 6.575112105543871266e+00 2.045255062123714773e-01 8.627710724365600381e-01
5.252847318492135376e-01 4.346067663509425749e+00 1.732120292795548411e-01 5.238484300924077797e-01
1.363148553513978012e+00 8.186507754946379833e+00 2.091187555634096695e-01 9.181007993460714722e-01
7.667447630779782308e-01 6.100120976635658998e+00 2.100535631070182263e-01 9.295370252413172052e-01
1.450050083078250118e+00 1.390512769425107820e+01 2.958437891527292973e-01 2.234002252463541893e+00
1.488513668867326833e+00 9.294162999043983575e+00 2.316725881936491094e-01 1.210608941310189479e+00
1.436020442150205856e+00 7.232397196243734783e+00 2.206932684204211681e-01 1.063888274799998923e+00
9.353767012646407863e-01 7.300867019430079097e+00 2.250389722519704760e-01 1.120979034185223711e+00
